Learning rate,Number of learning iterations,mean_test_Accuracy,rank
0.01,320,0.7621103117505994,1
0.1,160,0.7544364508393285,2
0.01,640,0.753956834532374,3
0.01,2560,0.753956834532374,3
0.1,640,0.753956834532374,3
0.1,1280,0.753956834532374,3
0.1,2560,0.753956834532374,3
0.1,320,0.7525179856115107,8
0.01,1280,0.7520383693045564,9
0.001,1280,0.7515587529976019,10
0.001,2560,0.7501199040767386,11
0.01,160,0.7467625899280576,12
0.001,640,0.7270983213429257,13
0.001,320,0.6983213429256595,14
0.001,160,0.6652278177458034,15
