Learning rate,Minimum number of samples per leaf node,Number of trees constructed,Maximum number of leaves per tree,mean_test_Accuracy,rank
0.1,10,500,32,0.7995203836930456,1
0.05,1,500,32,0.7990407673860912,2
0.05,10,500,32,0.7990407673860912,2
0.2,50,500,32,0.7985611510791367,4
0.2,50,500,128,0.7985611510791367,4
0.05,50,500,128,0.7985611510791366,6
0.05,50,500,32,0.7985611510791366,6
0.025,10,500,32,0.7971223021582734,8
0.1,1,500,32,0.796642685851319,9
0.2,50,500,8,0.7961630695443644,10
0.4,1,100,32,0.7961630695443644,10
0.1,50,500,128,0.7947242206235012,12
0.1,10,500,128,0.7947242206235012,12
0.1,50,500,32,0.7947242206235012,12
0.4,10,500,8,0.7942446043165466,15
0.4,1,500,32,0.7942446043165466,15
0.05,10,500,128,0.7937649880095924,17
0.2,10,100,32,0.7937649880095923,18
0.2,10,500,32,0.7932853717026379,19
0.025,1,500,32,0.7923261390887291,20
0.025,10,500,128,0.7923261390887291,20
0.2,1,500,8,0.7923261390887291,20
0.2,1,500,32,0.7918465227817745,23
0.4,50,100,128,0.7918465227817745,23
0.4,50,100,32,0.7918465227817745,23
0.1,10,100,32,0.7913669064748202,26
0.1,50,500,8,0.7913669064748201,27
0.4,10,100,32,0.7899280575539569,28
0.025,50,500,128,0.7899280575539569,28
0.025,50,500,32,0.7899280575539569,28
0.4,50,500,32,0.7899280575539569,28
0.4,1,500,8,0.7899280575539569,28
0.1,10,100,128,0.7899280575539569,28
0.4,50,500,128,0.7899280575539569,28
0.2,1,100,32,0.7899280575539568,35
0.4,50,500,8,0.7894484412470023,36
0.4,10,500,32,0.7894484412470023,36
0.4,10,500,128,0.7880095923261391,38
0.2,10,500,8,0.7870503597122301,39
0.2,50,100,32,0.7870503597122301,39
0.2,50,100,128,0.7870503597122301,39
0.4,10,100,128,0.7865707434052758,42
0.05,50,500,8,0.7865707434052758,42
0.4,50,100,8,0.7865707434052758,42
0.1,1,500,128,0.7856115107913668,45
0.2,10,500,128,0.7851318944844126,46
0.4,10,100,8,0.7851318944844125,47
0.2,10,100,128,0.784652278177458,48
0.1,50,100,32,0.7808153477218225,49
0.1,50,100,128,0.7808153477218225,49
0.05,10,100,32,0.7798561151079136,51
0.1,1,100,32,0.7798561151079136,51
0.4,10,20,32,0.7793764988009593,53
0.1,10,500,8,0.7793764988009592,54
0.1,1,500,8,0.7793764988009592,54
0.2,50,100,8,0.7793764988009592,54
0.05,10,100,128,0.7788968824940049,57
0.05,1,100,32,0.7788968824940049,57
0.025,1,500,8,0.7788968824940047,59
0.05,1,500,128,0.777937649880096,60
0.05,10,500,8,0.777937649880096,60
0.2,1,100,8,0.7764988009592325,62
0.025,1,500,128,0.7755395683453238,63
0.05,1,500,8,0.7750599520383693,64
0.2,1,500,128,0.7750599520383693,64
0.4,1,100,8,0.7750599520383693,64
0.025,50,500,8,0.7741007194244603,67
0.4,1,500,128,0.7731414868105516,68
0.05,50,100,32,0.7731414868105516,68
0.05,50,100,128,0.7731414868105516,68
0.1,1,100,128,0.7731414868105516,68
0.2,10,100,8,0.7731414868105514,72
0.2,1,100,128,0.7721822541966427,73
0.4,10,20,128,0.7712230215827338,74
0.4,1,100,128,0.7712230215827338,74
0.025,10,500,8,0.770263788968825,76
0.1,1,100,8,0.7693045563549162,77
0.025,10,100,128,0.7688249400479616,78
0.4,50,20,32,0.7683453237410071,79
0.4,50,20,128,0.7683453237410071,79
0.1,10,100,8,0.7678657074340528,81
0.4,1,20,32,0.7673860911270983,82
0.1,50,100,8,0.7673860911270983,82
0.2,10,20,32,0.7659472422062351,84
0.2,10,20,128,0.7649880095923262,85
0.2,1,20,32,0.7630695443645084,86
0.025,10,100,32,0.762589928057554,87
0.025,1,100,32,0.762589928057554,87
0.2,50,20,32,0.7606714628297362,89
0.2,50,20,128,0.7606714628297362,89
0.05,10,100,8,0.7592326139088729,91
0.4,50,20,8,0.7587529976019184,92
0.1,10,20,128,0.758273381294964,93
0.1,10,20,32,0.7573141486810552,94
0.05,50,100,8,0.7558752997601919,95
0.4,1,20,128,0.7534772182254197,96
0.05,1,100,8,0.7520383693045565,97
0.1,1,20,32,0.7505995203836932,98
0.4,10,20,8,0.7496402877697842,99
0.025,50,100,128,0.7491606714628297,100
0.025,50,100,32,0.7491606714628297,100
0.2,50,20,8,0.7458033573141488,102
0.4,1,20,8,0.7443645083932854,103
0.1,50,20,32,0.7424460431654677,104
0.1,50,20,128,0.7424460431654677,104
0.05,1,100,128,0.7410071942446043,106
0.2,1,20,8,0.7410071942446043,106
0.2,10,20,8,0.7405275779376499,108
0.2,1,20,128,0.7390887290167866,109
0.1,50,500,2,0.7362110311750599,110
0.2,1,500,2,0.7357314148681056,111
0.2,10,500,2,0.7357314148681056,111
0.4,1,500,2,0.7347721822541966,113
0.4,10,500,2,0.7338129496402878,114
0.025,50,100,8,0.7333333333333334,115
0.025,10,100,8,0.7328537170263788,116
0.1,1,20,128,0.7314148681055156,117
0.1,10,500,2,0.7304556354916066,118
0.025,1,100,8,0.7299760191846523,119
0.1,50,20,8,0.7294964028776979,120
0.4,50,500,2,0.7290167865707434,121
0.2,50,500,2,0.7290167865707433,122
0.025,1,100,128,0.7285371702637891,123
0.1,1,500,2,0.7275779376498801,124
0.4,10,100,2,0.7275779376498801,124
0.4,50,100,2,0.7261390887290169,126
0.05,10,20,128,0.7261390887290168,127
0.4,1,100,2,0.7251798561151079,128
0.1,10,20,8,0.724220623501199,129
0.1,1,20,8,0.7227817745803358,130
0.05,1,20,32,0.7213429256594724,131
0.2,50,100,2,0.719904076738609,132
0.05,50,500,2,0.7179856115107913,133
0.2,10,100,2,0.7175059952038368,134
0.05,10,20,32,0.7170263788968825,135
0.2,1,100,2,0.7165467625899281,136
0.05,1,500,2,0.7155875299760192,137
0.05,10,500,2,0.7141486810551559,138
0.025,50,500,2,0.7127098321342925,139
0.025,10,500,2,0.7103117505995203,140
0.025,1,500,2,0.709832134292566,141
0.4,10,20,2,0.709832134292566,141
0.4,50,20,2,0.7093525179856116,143
0.4,1,20,2,0.7050359712230216,144
0.1,50,100,2,0.7040767386091127,145
0.1,10,100,2,0.7035971223021583,146
0.05,50,20,128,0.7031175059952038,147
0.05,50,20,32,0.7031175059952038,147
0.1,1,100,2,0.7026378896882495,149
0.05,1,20,128,0.7021582733812949,150
0.05,1,20,8,0.6992805755395683,151
0.05,10,20,8,0.6968824940047962,152
0.05,50,100,2,0.6935251798561151,153
0.05,50,20,8,0.6930455635491608,154
0.05,10,100,2,0.6925659472422062,155
0.05,1,100,2,0.6925659472422062,155
0.2,1,20,2,0.6892086330935251,157
0.2,10,20,2,0.6892086330935251,157
0.2,50,20,2,0.6887290167865707,159
0.025,10,100,2,0.6781774580335732,160
0.025,1,100,2,0.6781774580335732,160
0.025,50,100,2,0.6757793764988009,162
0.1,50,20,2,0.6738609112709831,163
0.1,1,20,2,0.671462829736211,164
0.1,10,20,2,0.671462829736211,164
0.05,10,20,2,0.6436450839328537,166
0.05,1,20,2,0.6436450839328537,166
0.05,50,20,2,0.6431654676258993,168
0.025,10,20,32,0.6422062350119905,169
0.025,1,20,32,0.6422062350119904,170
0.025,10,20,128,0.641726618705036,171
0.025,50,20,128,0.6249400479616307,172
0.025,50,20,32,0.6249400479616307,172
0.025,1,20,128,0.6239808153477219,174
0.025,10,20,8,0.6215827338129497,175
0.025,1,20,8,0.6211031175059952,176
0.025,50,20,8,0.6182254196642686,177
0.025,50,20,2,0.5294964028776978,178
0.025,10,20,2,0.5294964028776978,178
0.025,1,20,2,0.5294964028776978,178
