Lambda,Number of iterations,mean_test_Accuracy,rank
1.0,1000,0.7400479616306955,1
1.0,100,0.7347721822541967,2
0.1,100,0.7270983213429257,3
0.1,1000,0.7203836930455636,4
1.0,10,0.697841726618705,5
0.1,10,0.6973621103117505,6
10.0,1000,0.6892086330935253,7
10.0,100,0.6858513189448442,8
10.0,10,0.6772182254196643,9
1.0,1,0.6043165467625898,10
0.1,1,0.6023980815347721,11
10.0,1,0.5985611510791368,12
100.0,1,0.5294964028776978,13
100.0,10,0.5294964028776978,13
100.0,100,0.5294964028776978,13
100.0,1000,0.5294964028776978,13
1000.0,1,0.18129496402877698,17
1000.0,10,0.18129496402877698,17
1000.0,100,0.18129496402877698,17
1000.0,1000,0.18129496402877698,17
